"","x"
"1","회사명"
"2","공고제목"
"3","즐겨찾기 수"
"4","조회수"
"5","경력"
"6","학력"
"7","나이/성별"
"8","급여"
"9","근무형태"
"10","직급/직책"
"11","근무일시"
"12","근무지역"
"13","시작일"
"14","마감일"
"15","우대사항"
"16","지원금/보험"
"17","급여제도"
"18","선물"
"19","교육/생활"
"20","근무 환경"
"21","출퇴근"
"22","리프레시"
"23","조직문화"
"24","홈페이지접속"
"25","필수사항"
"26","자사양식다운수"
