"","x"
"457",36004279
"458",36003534
"459",36002945
"460",36002558
"461",36002541
"462",36000519
"463",36000035
"464",35999616
"465",35999281
"466",35999021
"467",35998356
"468",35997015
"469",35995142
"470",35994476
"471",35992628
"472",35992485
"473",35985898
"474",35982028
"475",35978786
"476",35978353
"477",35978113
"478",35978050
"479",35977068
"480",35977049
"481",35977022
"482",35976994
"483",35975985
"484",35974709
"485",35973814
"486",35973722
"487",35973683
"488",35973447
"489",35973115
"490",35972809
"491",35970524
"492",35969012
"493",35968600
"494",35968305
"495",35968207
"496",35966953
"497",35966355
"498",35966017
"499",35965700
"500",35965443
"501",35962586
"502",35958181
"503",35956287
"504",35932103
"505",35931057
"506",35862810
"507",35862405
"508",35861352
"509",35860694
"510",35858846
"511",35858681
"512",35858394
"513",35858230
"514",35857969
"515",35857530
"516",35857277
"517",35856812
"518",35856785
"519",35856710
"520",35856336
"521",35855754
"522",35855213
"523",35853566
"524",35853510
"525",35852732
"526",35852367
"527",35852226
"528",35984283
"529",36010685
"530",36007798
"531",35946771
"532",36023114
"533",35986801
"534",36005065
"535",35985341
"536",35976044
"537",35961224
"538",35957823
"539",35949666
"540",35936081
"541",36029009
"542",36028869
"543",36023803
"544",36021924
"545",36021046
"546",36019215
"547",36014279
"548",35997651
"549",35996315
"550",35996298
"551",35994923
"552",35985804
"553",35985754
"554",35984443
"555",35982385
"556",35978046
"557",35975852
"558",35974608
"559",35973870
"560",35973596
"561",35973571
"562",35973530
"563",35973471
"564",35973386
"565",35973353
"566",35973235
"567",35973178
"568",35972585
"569",35971516
"570",35970908
"571",35970474
"572",35970436
"573",35969612
"574",35968676
"575",35966943
"576",35966830
"577",35966581
"578",35966256
"579",35966172
"580",35966087
"581",35965729
"582",35964748
"583",35955680
"584",35870962
"585",35870698
"586",35870691
"587",35869747
"588",35868788
"589",35868396
"590",35868080
"591",35868001
"592",35867303
"593",35866184
"594",35864317
"595",35864255
"596",35864232
"597",35863806
"598",35863271
"599",36012471
"600",36016113
"601",36000545
"602",35994131
"603",35982184
"604",36016121
"605",35894427
"606",36019123
"607",36008283
"608",35995650
"609",35964405
"610",35881644
"611",36015108
"612",36000588
"613",35993492
"614",35986128
"615",35985828
"616",35984929
"617",35970078
"618",35968995
"619",35952872
"620",35938333
"621",35929133
"622",36030757
"623",36030740
"624",36024447
"625",36022441
"626",36022112
"627",36019016
"628",36011194
"629",36010838
"630",36009760
"631",36009015
"632",36006580
"633",36006385
"634",36004965
"635",36004815
"636",36000602
"637",36000370
"638",36000362
"639",35999821
"640",35998861
"641",35997290
"642",35995877
"643",35994410
"644",35986542
"645",35983743
"646",35983652
"647",35983072
"648",35980367
"649",35979320
"650",35979252
"651",35978940
"652",35978598
"653",35977520
"654",35977481
"655",35976577
"656",35974459
"657",35972902
"658",35970893
"659",35969819
"660",35969020
"661",35967261
"662",35965972
"663",35964879
"664",35959353
"665",35958409
"666",35956371
"667",35956085
"668",35954911
"669",35949703
"670",35937353
"671",35936754
"672",35936385
"673",35935860
"674",35934094
"675",35920606
"676",35913042
"677",35893449
"678",35885827
"679",35880229
"680",35879022
"681",35878794
"682",35878370
"683",35878313
"684",35878208
"685",35877973
"686",35877894
"687",35876460
"688",35875497
"689",35874353
"690",35874292
"691",35874020
"692",35873377
"693",35841110
"694",35837318
"695",35728972
"696",36021392
"697",36021299
"698",36019472
"699",36016152
"700",36011482
"701",36007839
"702",35996619
"703",35991817
"704",35985374
"705",35985326
"706",35984896
"707",35982339
"708",35955330
"709",35949775
"710",35948220
"711",35919834
"712",35916462
"713",35888444
"714",35888266
"715",35888015
"716",35887931
"717",35887920
"718",35887854
"719",35887670
"720",35887376
"721",35887034
"722",35886358
"723",35886116
"724",35885534
"725",35885259
"726",35885234
"727",35885199
"728",35884978
"729",35884254
"730",35883742
"731",35882611
"732",35881955
"733",35881934
"734",35881398
"735",35878382
"736",35866344
"737",35864926
"738",35862987
"739",35572801
"740",35572780
"741",35895754
"742",36004635
"743",35957936
"744",36018405
"745",36009474
"746",35999626
"747",35999610
"748",35998927
"749",35979011
"750",35969800
"751",35966024
"752",36031165
"753",36030810
"754",36030747
"755",36029893
"756",36029168
"757",36024178
"758",36023641
"759",36021923
"760",36021445
"761",36020225
"762",36019768
"763",36019362
"764",36019080
"765",36018531
"766",36017767
"767",36016557
"768",36016472
"769",36016314
"770",36015789
"771",36015604
"772",36014882
"773",36014803
"774",36013471
"775",36013395
"776",36012129
"777",36011883
"778",36011184
"779",36010842
"780",36009797
"781",36009756
"782",36007873
"783",36007800
"784",36007524
"785",36007418
"786",36007300
"787",36007110
"788",36006996
"789",36006802
"790",36004732
"791",36004672
"792",36004550
"793",36002470
"794",36002301
"795",36000019
"796",35999948
"797",35999912
"798",35999159
"799",35998813
"800",35998620
"801",35998320
"802",35997929
"803",35997615
"804",35996018
"805",35995906
"806",35995483
"807",35995314
"808",35994899
"809",35994873
"810",35993067
"811",35992487
"812",35992476
"813",35992329
"814",35992302
"815",35988578
"816",35988574
"817",35988385
"818",35986946
"819",35986908
"820",35986379
"821",35985821
"822",35983838
"823",35983126
"824",35981650
"825",35980797
"826",35980582
"827",35979425
"828",35979362
"829",35978858
"830",35978545
"831",35978452
"832",35978169
"833",35977067
"834",35975277
"835",35975213
"836",35973762
"837",35973608
"838",35972998
"839",35971393
"840",35971360
"841",35969356
"842",35968506
"843",35966744
"844",35962846
"845",35962703
"846",35961900
"847",35961541
"848",35959971
"849",35956494
"850",35955712
"851",35954093
"852",35935605
"853",35926740
"854",35923526
"855",35916578
"856",35915043
"857",35896296
"858",35896216
"859",35896209
"860",35895787
"861",35894254
"862",35894236
"863",35892847
"864",35892784
"865",35892695
"866",35892165
"867",35891810
"868",35891798
"869",35890839
"870",35890565
"871",35889511
"872",35888983
"873",35888965
"874",35887041
"875",35884491
"876",35878816
"877",35863652
"878",35862502
"879",35862485
"880",35848033
"881",35986346
"882",36007804
"883",35993074
"884",35995670
"885",36023598
"886",36003122
"887",35995685
"888",35983096
"889",35937234
"890",36014555
"891",35981994
"892",36017727
"893",36016547
"894",36016293
"895",35977823
"896",35932595
"897",36016660
"898",36016300
"899",36016233
"900",36016127
"901",36008666
"902",36008605
"903",36007851
"904",36007472
"905",35999992
"906",35998717
"907",35994025
"908",35985322
"909",35982270
"910",35971089
"911",35954048
"912",35953936
"913",35927408
"914",35897988
"915",35864653
"916",36003424
"917",36008235
"918",35999715
"919",35981883
"920",35974507
"921",36017624
"922",36016589
"923",36012751
"924",36011668
"925",36011627
"926",36011515
"927",36007579
"928",36006453
"929",36005887
"930",36004629
"931",36004195
"932",36004069
"933",36002885
"934",36002847
"935",36002794
"936",36002763
"937",36001319
"938",35997095
"939",35992098
"940",35966828
"941",35965707
"942",35917022
"943",35899242
"944",36003483
"945",36019607
"946",36021476
"947",35964664
"948",36027556
"949",36019536
"950",36014235
"951",36013747
"952",36012448
"953",36010851
"954",36009747
"955",36009683
"956",36009616
"957",36009105
"958",36008982
"959",36008731
"960",36007511
"961",36007313
"962",36007233
"963",36007227
"964",36006507
"965",36005008
"966",36004610
"967",36004369
"968",36004151
"969",36003764
"970",36003555
"971",36002126
"972",35981566
"973",35976737
"974",35968420
"975",35924171
"976",35910482
"977",35910244
"978",35910071
"979",35909736
"980",35909441
"981",35909311
"982",35909008
"983",35908226
"984",35907299
"985",35906698
"986",35906648
"987",35906255
"988",35906245
"989",35906177
"990",35906150
"991",35905969
"992",35904896
"993",35904317
"994",35904185
"995",35903897
"996",35903120
"997",35902986
"998",35902719
"999",35901859
"1000",35901490
"1001",35901477
"1002",35901122
"1003",35900609
"1004",35900153
"1005",36019374
"1006",36017202
"1007",36021757
"1008",36016386
"1009",36021000
"1010",35997848
"1011",36028463
"1012",36020602
"1013",36018657
"1014",36017429
"1015",36016685
"1016",36016235
"1017",36016122
"1018",36014869
"1019",36012305
"1020",36012095
"1021",36012090
"1022",36012074
"1023",36011453
"1024",35997478
"1025",35984847
"1026",35922723
"1027",35920853
"1028",35918533
"1029",35918494
"1030",35918428
"1031",35918183
"1032",35918045
"1033",35917303
"1034",35917036
"1035",35916287
"1036",35915226
"1037",35915205
"1038",35914061
"1039",35913807
"1040",35913788
"1041",35913758
"1042",35913585
"1043",35911411
"1044",35911053
"1045",35910926
"1046",35893261
"1047",35860012
"1048",36032860
"1049",36024706
"1050",35997744
"1051",35977709
"1052",36005271
"1053",36021892
"1054",36019103
"1055",36018301
"1056",36016103
"1057",36011229
"1058",36011164
"1059",36004471
"1060",36004454
"1061",35994721
"1062",35985478
"1063",35977641
"1064",35977546
"1065",35975869
"1066",35970999
"1067",35969417
"1068",35958322
"1069",35940476
"1070",35940416
"1071",35940120
"1072",35926403
"1073",35925155
"1074",35924938
"1075",35924183
"1076",35923658
"1077",35923479
"1078",35923240
"1079",35923095
"1080",35923038
"1081",35922989
"1082",35922903
"1083",35922788
"1084",35922778
"1085",35922700
"1086",35922678
"1087",35922655
"1088",35922370
"1089",35921939
"1090",35921757
"1091",35921622
"1092",35921232
"1093",35921223
"1094",35921188
"1095",35920846
"1096",35920589
"1097",35920122
"1098",35920095
"1099",35919170
"1100",35869474
"1101",35866490
"1102",36017261
"1103",36017189
"1104",35977244
"1105",35933811
"1106",35932290
"1107",35932198
"1108",35931968
"1109",35931562
"1110",35931165
"1111",35930324
"1112",35927971
"1113",35927373
"1114",35926724
"1115",35902296
"1116",35896381
"1117",36024597
"1118",36022310
"1119",36021724
"1120",36021464
"1121",36018825
"1122",36017785
"1123",36009046
"1124",36003166
"1125",35997232
"1126",35996484
"1127",35984675
"1128",35976034
"1129",35941768
"1130",35940952
"1131",35939756
"1132",35939682
"1133",35939542
"1134",35939325
"1135",35939309
"1136",35938772
"1137",35938756
"1138",35938642
"1139",35938603
"1140",35938258
"1141",35937992
"1142",35937962
"1143",35937922
"1144",35937918
"1145",35936725
"1146",35936559
"1147",35936273
"1148",35936147
"1149",35936135
"1150",35936108
"1151",35936066
"1152",35935807
"1153",35935587
"1154",35935231
"1155",35934578
"1156",35934278
"1157",35934172
"1158",35929593
"1159",35918692
"1160",36004509
"1161",36028774
"1162",36022253
"1163",35999894
"1164",36007105
"1165",36018524
"1166",35957069
"1167",35956945
"1168",35953976
"1169",35917090
"1170",36027715
"1171",36018896
"1172",36018451
"1173",36018383
"1174",36016045
"1175",36015612
"1176",36013834
"1177",36013270
"1178",36012871
"1179",36010959
"1180",36010840
"1181",36010791
"1182",36009387
"1183",36008741
"1184",36008617
"1185",36008441
"1186",36007902
"1187",36007093
"1188",36006409
"1189",36006313
"1190",36004458
"1191",36003218
"1192",36000503
"1193",36000136
"1194",35999639
"1195",35999624
"1196",35999614
"1197",35999609
"1198",35998966
"1199",35998627
"1200",35995786
"1201",35992413
"1202",35986696
"1203",35985553
"1204",35985511
"1205",35985014
"1206",35984028
"1207",35978395
