"","keyword","salary"
"78","판매,주얼리·귀금속","회사내규에 따름"
"79","음식료,바리스타·커피","면접후 결정"
"80","보험사,고객상담,유통관리","회사내규에 따름"
"81","쇼핑몰,HTML  ,일러스트레이터,포토샵","면접후 결정"
"82","전자,검사·검품,제조·가공,품질관리","회사내규에 따름"
"83","잡화매장,판매,화장품매장,미용기타","3,000~3,200만원"
"84","전자,검사·검품,제조·가공,품질관리","2,400~2,600만원"
"85","공예디자인,이벤트플래너,파티플래너,프로모터,행사진행","1,800~2,000만원"
"86","영어학원,어학원강사,영어,영어회화","면접후 결정"
"87","기계설비,자동차부품,검사·검품,제조·가공,품질관리","3,000~3,200만원"
"88","전자,생산,제조·가공,조립,포장·코팅","2,400~2,600만원"
"89","보습학원,수학,일반학원강사,입시학원강사,전임강사","2,000~2,200만원"
"90","음식료,바리스타·커피","회사내규에 따름"
"91","제과제빵점,베이커리,제과·제빵사,파티쉐르","2,400~2,600만원"
"92","영어학원,어학원강사,영어,영어회화","면접후 결정"
"93","쇼핑몰,오픈마켓,전자상거래,영상편집,프리미어,플래쉬","2,200~2,400만원"
"94","보안컨설팅,정보보안,Ajax,Android앱개발,C·C++,IOS앱개발,Java·JSP,Python,VisualC·C++,Windows,정보보안","면접후 결정"
"95","냉난방설비,AS기사,서비스","면접후 결정"
"96","로드샵,주얼리·귀금속","2,600~2,800만원"
"97","화공,화학,기술영업(제조)","면접후 결정"
"98","인터넷건강·의학,카페·블로그관리,컨텐츠운영","회사내규에 따름"
"99","광고대행사,경영지원,관리회계","면접후 결정"
"100","신경외과,재활의학과,정형외과,물리치료사","3,000~3,200만원"
"101","광고디자인,시각디자인,광고디자인,시각디자인,신문·잡지광고,포스터디자인","면접후 결정"
"102","보습학원,과학,교육기획,교육프로그램,교재·컨텐츠개발,생물,일반학원강사,입시학원강사,전임강사,지구과학,화학","회사내규에 따름"
"103","음식료,프랜차이즈,매장관리,매출관리,바리스타·커피,외식·식품,판매관리","2,200~2,400만원"
"104","보습학원,교육상담·안내","회사내규에 따름"
"105","치과,치과조무사","면접후 결정"
"106","토목회사,토목설계","2,400~2,600만원"
"107","마사지,피부관리,피부관리·에스테틱","2,000~2,200만원"
"108","예식장·웨딩홀,웨딩플래너,이벤트플래너,파티플래너,행사진행","면접후 결정"
"109","이벤트·공연,도우미","회사내규에 따름"
"110","잡화,구두·신발","면접후 결정"
