"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"11","(주)경동사","서울지점 IT팀 채용 - 정규직 ( IT Helpdesk )","90","2,870","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","사원 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 동대문구지도","2019.03.13 15:00","2019.04.30 23:59","전공컴퓨터/시스템공학외국어 능력 영어가능자자격/능력 엑셀 고급능력자근무조건 인근거주자기타ERP 유지 보수 경험 (SAP)","건강검진, 직원대출제도, 각종 경조사 지원, 자녀학자금","퇴직연금, 퇴직금, 야근수당, 휴일(특근)수당, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 신입사원교육(OJT), 구내식당(사원식당), 점심식사 제공, 사내동호회 운영, ...","유니폼지급, 사무용품 지급","차량유류비지급, 주차장제공","연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직","자유복장",NA,NA,NA
"12","대한뉴팜㈜","[회계팀] 재무회계 모집 공고 - 경력","20","479","경력 8년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직","과장, 차장 / 팀장","주 5일(월~금) ","서울 관악구지도","2019.03.14 08:00","2019.04.13 23:59","전공경영학, 회계학기타감사 수검 경험자 우대,세무조사 경험자 우대","건강검진, 직원대출제도, 각종 경조사 지원, 업무활동비 지급, 자녀학자금","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 4대 보험","명절선물/귀향비, 창립일선물지급","창립일행사, 우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상...","회의실, 공기청정기, 전용 사옥, 유니폼지급, 노트북, 자회사 제품할인, 사무용품 지급","야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 포상휴가, 산전 ...","자유복장","62",NA,NA
"13","코스맥스엔비티 주식회사","해외영업 경력직 모집(대리~과장)","77","1,451","경력 5~10년","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","대리, 과장 / 팀원","주 5일(월~금) 평일 : 08:30~17:30","서울 강남구지도","2019.03.14 09:00","2019.04.13 23:59","전공식품/유전/바이오, 상경계열기본국가유공자, 보훈대상자, 취업보호대상자외국어 능력 영어능통자, 중국어 가능자활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 문서작성 우수자, PPT능력 우수자근무조건 운전가능자","건강검진, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입...","휴게실, 회의실, 자회사 제품할인, 콘도/리조트 이용권",NA,"연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 산전 후 휴가","자유복장",NA,NA,NA
"14","(주)세운메디칼","마케팅 및 영업관리 경력직 모집 공고","16","324","경력 3~5년","학력무관","무관","면접후 결정","정규직 수습기간 3개월",NA,"주 5일(월~금) ","서울 동대문구지도","2019.03.14 09:00","2019.04.13 23:59","활동/경험 해당직무 근무경험자격/능력 문서작성 우수자근무조건 운전가능자",NA,"퇴직연금, 4대 보험",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","남양유업 주식회사","[남양유업] 서울(강서) 산부인과/조리원 영업관리 정규직 채용","110","1,259","무관(신입포함)","대졸(2,3년제) 이상","무관","3,600~3,800만원동일직무 경력자 별도협의","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 9시~오후 6시","서울 은평구지도","2019.03.14 09:00","2019.04.13 23:59","기본국가유공자, 보훈대상자, 취업보호대상자근무조건 운전가능자기타병원/간호 관련 유경험자","건강검진, 직원대출제도, 각종 경조사 지원, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"워크샵, 신입사원교육(OJT), 사내동호회 운영, 식비 지원",NA,"주택자금 융자","연차, 경조휴가제, 휴가비지원, 육아휴직, 보건휴가",NA,NA,NA,NA
"16","(주)대전지오영","(주)대전지오영 영업부 채용 공고(지역: 천안/아산)","9","446","경력 3년 이상","대졸(2,3년제) 이상","나이무관/남자","회사내규에 따름","정규직","대리, 과장","주 5일(월~금) 오전 8시 30분~오후 5시 30분","대전 서구지도","2019.03.14 10:00","2019.04.13 23:59","근무조건 운전가능자, 차량소지자, 지방근무 가능자",NA,"퇴직연금, 4대 보험",NA,"구내식당(사원식당)",NA,NA,"연차",NA,NA,NA,NA
"17","(주)케이사인","[DB보안개발] JAVA 개발자 모집","9","196","경력 3~5년","대졸(2,3년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직 수습기간 3개월","대리, 과장 / 팀원","주 5일(월~금) 오전 9시~오후 6시","서울 강남구지도","2019.03.14 10:00","2019.04.13 23:59","전공컴퓨터/시스템공학, 전기/전자공학, 반도체공학자격증정보처리기사활동/경험 해당직무 근무경험","건강검진, 의료비지원(본인), 각종 경조사 지원, 업무활동비 지급, 문화생활비","퇴직연금, 인센티브제, 퇴직금, 연차수당, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비, 결혼기념일선물","창립일행사, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화...","회의실, 건물 내 경사로, 휠체어용 난간, 유도점자블록, 장애인 화장실, 장애인 전...","차량유류비지급, 야간교통비지급, 주차장제공, 주차비지원","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육...","노조/노사협의회, 자유복장",NA,NA,NA
"18","남양유업 주식회사","[남양유업] 마케팅 BM 경력사원 채용","134","2,281","경력 5년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","대리, 과장","주 5일(월~금) 오전 9시~오후 6시","서울 강남구, 서울전체지도","2019.03.14 10:00","2019.04.13 23:59","전공수학/통계학, 경영학, 광고홍보학기본국가유공자, 보훈대상자","건강검진, 직원대출제도, 각종 경조사 지원, 자녀학자금","퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 가족수당, 4대 보험",NA,"워크샵, 직무능력향상교육, 해외연수지원, MBA과정지원, 사내동호회 운영, 식비 지원","전용 사옥, 노트북, 사원증, 사무용품 지급","주택자금 융자","연차, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 육아휴직, 보건휴가",NA,NA,NA,NA
"19","펑타이그레이터차이나(유)","2019년 디지털마케팅 부문별 경력사원 모집","171","2,092","경력 2~10년","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) ","서울 강남구지도","2019.03.14 10:00","2019.04.13 23:59",NA,"건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 휴일(특근)수당, 4대 보험","명절선물/귀향비, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 전용 사옥, 사내 정원, ...","야간교통비지급, 주차장제공","연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, 육아휴직","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"20","(주)밀레에델바이스홀딩스","인사/총무 경력직 채용","313","7,028","신입·경력 3년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","주임","주 5일(월~금) ","서울 마포구지도","2019.03.14 10:00","2019.04.13 23:59","기본국가유공자, 보훈대상자활동/경험 해당직무 근무경험","각종 경조사 지원","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 4대 보험",NA,"창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서...","회의실, 카페테리아, 자회사 제품할인, 사무용품 지급","야간교통비지급","연차, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건...","자유복장",NA,NA,NA
"21","amano korea㈜","웹개발, 응용프로그램개발 담당자 모집합니다","12","328","경력 5년 이상","대졸(4년제) 이상","무관","면접후 결정교통비 별도","정규직 수습기간 3개월","선임연구원, 주임연구원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 영등포구지도","2019.03.14 11:00","2019.04.13 23:59","자격증정보처리기사활동/경험 해당직무 근무경험","건강검진, 단체 상해보험","상여금, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 직책수당, 가족수당, 4대 보험",NA,"창립일행사, 우수사원시상식, 신입사원교육(OJT), 사우회(경조사회)","회의실, 카페테리아, 전용 사옥","야간교통비지급, 회사차량 있음",NA,"회식강요 안함, 야근강요 안함",NA,"전<U+00A0><U+00A0><U+00A0>공컴퓨터/시스템공학",NA
"22","㈜하이스틸","인사총무&경영지원 담당자 채용","655","12,191","무관(신입포함)","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","사원, 대리 / 팀원","주 5일(월~금) ","서울 중구지도","2019.03.14 11:00","2019.04.13 23:59","전공경영학, 경제학, 상경계열외국어 능력 영어가능자자격/능력 컴퓨터활용능력 우수근무조건 인근거주자, 운전가능자","건강검진, 자녀학자금","상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차...","명절선물/귀향비, 결혼기념일선물","우수사원시상식, 워크샵, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공","휴게실, 수면실, 회의실, 유니폼지급","회사차량 있음","연차, 여름휴가, 경조휴가제, 반차, 휴양시설 제공","노조/노사협의회",NA,NA,NA
"23","다이요잉크프로덕츠(주)","영업 담당자를 모십니다.","24","692","무관(신입포함)","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","대리, 사원 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","경기 안산시 단원구지도","2019.03.14 11:00","2019.04.13 23:59","활동/경험 해당직무 근무경험자격/능력 문서작성 우수자","건강검진, 직원대출제도, 각종 경조사 지원, 자녀학자금","퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 야근수당, 휴일(특근)수당, 가족...","명절선물/귀향비, 창립일선물지급","창립일행사, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 저녁식사 제공, 사내...","휴게실, 회의실, 사원증, 사무용품 지급",NA,"연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무","회식강요 안함, 야근강요 안함, 자유복장",NA,"외국어JLPT 1급(점) 이상, JPT 700급(점) 이상",NA
"24","아이지에스(주)","[IGS] 개발본부 개발자 모집","26","748","경력 2~12년","대졸(4년제) 이상","무관","회사내규에 따름","정규직","대리, 주임 / 팀장","주 5일(월~금) 오전 10시~오후 7시","서울 영등포구지도","2019.03.14 10:00","2019.04.13 23:59","전공컴퓨터/시스템공학기본국가유공자, 보훈대상자, 장애인우대, 병역특례, 외국인우대자격/능력 통계분석능숙자, 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자","건강검진, 의료비지원(본인), 각종 경조사 지원, 단체 상해보험, 의료비지원(가족), ...","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 직책수당, 장기근속...","명절선물/귀향비, 생일선물/파티, 장기근속 선물","우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입...","수유실, 휴게실, 회의실, 카페테리아, 게임기, 건물 내 경사로, 휠체어용 난간, 유도...","야간교통비지급, 주차비지원","연차, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, ...","수평적 조직문화, 회식강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화",NA,NA,NA
"25","(주)아트웍스코리아","[CJ계열사] 펀샵 온라인MD 모집","556","5,113","무관(신입포함)","학력무관","무관","면접후 결정","정규직 수습기간 3개월","면접후 결정","주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 동대문구지도","2019.03.14 12:00","2019.04.13 23:59","활동/경험 해당직무 근무경험","건강검진","퇴직금, 4대 보험",NA,NA,NA,"야간교통비지급, 주차비지원","연차","자유복장",NA,NA,NA
"26","(주)신흥정밀 SA사업부","기구개발/설계연구분야의 경력 인재를 모십니다","40","969","경력 5년 이상","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직 수습기간 3개월","연구원 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 금천구지도","2019.03.14 13:00","2019.04.13 23:59","전공기계/자동차/조선공학외국어 능력 영어가능자, 일본어 가능자, 중국어 가능자근무조건 운전가능자","건강검진, 각종 경조사 지원","퇴직금, 직책수당, 가족수당, 4대 보험",NA,"신입사원교육(OJT), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회)","사원증","회사차량 있음, 탄력근무제","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가","자유복장",NA,NA,NA
"27","(주)바바패션","(주)바바패션 ICT부(쇼핑몰운영) 채용","11","413","경력 3년 이상","대졸(2,3년제) 이상","무관","면접후 결정","정규직","주임, 대리, 과장","주 5일(월~금) 오전 9시~오후 6시","서울 강남구지도","2019.03.14 13:00","2019.04.13 23:59","활동/경험 해당직무 근무경험기타자바, 오라클 경력 우대, 의류 소핑몰 웹프로그램 개발 경력 우대, 의류업체 근무 경험자 우대","건강검진, 직원대출제도, 각종 경조사 지원, 결혼준비 지원","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 4대 보험","창립일선물지급, 생일선물/파티","저녁식사 제공, 사내동호회 운영, 사우회(경조사회)",NA,NA,"연차, 산전 후 휴가","자유복장",NA,NA,NA
"28","(주)크래커엔터테인먼트","[크래커] 음반마케팅실 / 팬마케팅 담당자 채용 (경력/신입)","296","2,933","신입·경력(년수무관)","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직, 계약직정규직 수습기간 3개월계약직 정규직 전환 가능 - 기간제","대리, 사원","주 5일(월~금) ","서울 강남구지도","2019.03.14 13:00","2019.04.13 23:59","외국어 능력 영어가능자, 일본어 가능자활동/경험 해당직무 근무경험자격/능력 문서작성 우수자, 포토샵 능숙자근무조건 해외근무 가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","(주)스맥","공작기계 제품개발, 설계(MCT/선반) 신입/경력자 모집","134","2,591","신입·경력 3년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","연구원, 주임연구원 / 팀원","주 5일(월~금) 08시 ~ 17시 (별도 연장근무)","경남 김해시지도","2019.03.14 13:00","2019.04.13 23:59","전공기계/자동차/조선공학, 공학계열활동/경험 해당직무 근무경험, 석사학위 수여자","건강검진, 선택적복리후생","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비","우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, ...","유니폼지급, 노트북, 사원증, 사무용품 지급",NA,"연차, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 포상휴가, 산전 후 휴가, 육아휴직...",NA,NA,NA,NA
"30","(주)스마일게이트엔터테인먼트","[스마일게이트 엔터테인먼트] 중국지역 이스포츠 관련 업무 담당","105","1,809","경력(년수무관)","학력무관","무관","회사내규에 따름","정규직","주임, 대리, 과장","주 5일(월~금) ","경기 성남시 분당구지도","2019.04.12 14:00","2019.04.30 23:59","활동/경험 해당직무 근무경험자격/능력 문서작성 우수자기타게임에 관심이 많으신 분","건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 단체 상해보험, 의...","퇴직연금, 장기근속자 포상, 퇴직금, 4대 보험",NA,"워크샵, 신입사원교육(OJT), 교육비 지원, 구내식당(사원식당), 점심식사 제공, 사내...","휴게실, 카페테리아","통근버스 운행, 야간교통비지급","연차, 경조휴가제, Refresh휴가, 산전 후 휴가, 육아휴직, 남성출산휴가",NA,"125",NA,NA
"31","오뚜기냉동식품㈜","[연구소] 조리(쉐프) 및 제품개발 경력사원 모집 공고","78","1,147","경력(년수무관)","대졸(2,3년제) 이상","무관","면접후 결정","정규직 수습기간 3개월","면접후 결정 / 팀원","주 5일(월~금) 08:30~18:30","경기 파주시지도","2019.03.14 14:00","2019.04.13 23:59","기타식품관련 전공자 (초대졸 이상)조리기능사 자격증 소지자요리관련 업계 경력자","건강검진, 각종 경조사 지원, 자녀학자금","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 직책수당, 4대 보험","창립일선물지급","구내식당(사원식당)",NA,"통근버스 운행, 회사차량 있음","연차, 여름휴가, 경조휴가제, 창립일휴무, 근로자의 날 휴무","노조/노사협의회",NA,NA,NA
"32","에스지생활안전 주식회사","[SG생활안전] 기술연구소 연구원(경력) 채용","20","848","경력 5~10년","학력무관(예정자 가능)","무관","면접후 결정","정규직 수습기간 3개월","대리 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","경기 평택시, 경기전체, 충남전체지도","2019.03.14 13:00","2019.04.13 23:59","전공기계/자동차/조선공학, 공학계열자격증일반기계기사기본국가유공자, 보훈대상자자격/능력 CAD/CAM 능숙자근무조건 인근거주자, 운전가능자",NA,NA,NA,"구내식당(사원식당), 점심식사 제공",NA,"통근버스 운행",NA,NA,NA,NA,NA
"33","덕산네오룩스㈜","덕산네오룩스 부문별 수시 채용 모집(연구소, 운영지원, 제조)","147","2,618","신입·경력","학력무관","무관","회사내규에 따름성과급 및 퇴직금 별도","정규직, 계약직정규직 수습기간 3개월계약직 정규직 전환 가능","사원 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","충남 천안시 서북구","2019.03.14 00:00","2019.04.19 23:59",NA,"건강검진, 각종 경조사 지원, 체력단련실운영, 선택적복리후생, 자녀학자금","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급","창립일행사, 우수사원시상식, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리...","휴게실, 회의실, 공기청정기, 카페테리아, 전용 사옥, 사내 정원, 유니폼지급, 사원...","주차장제공","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, ...",NA,NA,NA,NA
"34","한국후꼬꾸(주)","생산관리 정규직 채용 - 경력무관","51","1,188","무관(신입포함)","대졸(2,3년제) 이상","무관","3,200~3,400만원","정규직 수습기간 3개월",NA,"주 5일(월~금) ","충남 보령시지도","2019.03.14 15:00","2019.04.13 23:59","활동/경험 해당직무 근무경험근무조건 인근거주자, 운전가능자","건강검진, 각종 경조사 지원, 체력단련실운영","우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 자격증수당...","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 구내식당(사원...","휴게실, 회의실, 사내 정원, 건물 내 경사로, 휠체어용 난간, 유도점자블록, 장애인 ...","기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음","연차, 여름휴가, 창립일휴무, 근로자의 날 휴무, 휴가비지원, 산전 후 휴가, 육아휴...","노조/노사협의회",NA,NA,"104"
"35","(주)엠엠티오토모티브","총무 담당자 채용모집공고","103","1,645","경력 1~5년","학력무관","무관","면접후 결정","정규직 수습기간 3개월","팀원","주 5일(월~금) 08:00~18:00","대구 달서구지도","2019.03.14 15:00","2019.04.13 23:59","자격증전산세무2급 (국가공인), 전산회계1급 (국가공인), 2종보통운전면허외국어 능력 영어가능자활동/경험 해당직무 근무경험자격/능력 문서작성 우수자, 엑셀 고급능력자, 더존/회계 능숙자근무조건 인근거주자, 운전가능자, 지방근무 가능자","건강검진, 각종 경조사 지원, 단체 상해보험, 자녀학자금","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 4대 보험","명절선물/귀향비, 생일선물/파티","우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 해외연수지원, 외국어 교육...","회의실, 공기청정기, 유니폼지급, 노트북, 사원증, 콘도/리조트 이용권, 사무용품 지급","기숙사 운영, 회사차량 있음","여름휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직","회식강요 안함, 야근강요 안함",NA,NA,NA
"36","재영솔루텍(주)","본사 공무팀 경력직 채용","9","916","경력(년수무관)","대졸(2,3년제) 이상","나이무관/남자","회사내규에 따름","정규직",NA,"주 5일(월~금) 오전 8시 30분~오후 5시 30분","인천 연수구지도","2019.03.15 08:00","2019.04.14 23:59","전공전기/전자공학, 기계/자동차/조선공학자격증전기기능장, 가스사용시설안전관리자, 전기기사활동/경험 해당직무 근무경험근무조건 인근거주자, 운전가능자","건강검진, 직원대출제도, 각종 경조사 지원, 체력단련실운영, 통신비 지원, 자녀학자금","장기근속자 포상, 퇴직금, 4대 보험",NA,"창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더...","휴게실, 회의실, 전용 사옥, 사내 정원, 유니폼지급, 노트북, 사원증, 콘도/리조트 ...","기숙사 운영, 야간교통비지급, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직",NA,NA,NA,NA
"37"," (주)미디어윌네트웍스","알바천국 IOS앱 경력개발자 정규직 채용","5","169","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직","대리, 과장, 사원","주 5일(월~금) 오전 9시~오후 6시","서울 강남구, 서울전체, 강북구, 관악구, 마포구지도","2019.03.15 09:00","2019.04.14 23:59",NA,"건강검진, 각종 경조사 지원","퇴직연금, 장기근속자 포상, 휴일(특근)수당, 연차수당, 4대 보험",NA,"사내동호회 운영",NA,"야간교통비지급","연차, 경조휴가제, 반차, 근로자의 날 휴무",NA,NA,NA,NA
"38","휴젤(주)","[휴젤㈜] 2019 생산본부 각 부문별 신입/경력 채용공고","598","15,728","신입·경력","고교졸업 이상 모집부문별 상이함.","무관","회사내규에 따름","정규직, 계약직","면접후 결정",NA,"강원 춘천시, 강원전체지도","2019.03.15 00:00","2019.04.19 23:59",NA,"자녀학자금","인센티브제, 장기근속자 포상, 퇴직금, 4대 보험",NA,"창립일행사, 워크샵, 플레이샵, 신입사원교육(OJT), 자기계발비 지원, 사내동호회 운...",NA,"기숙사 운영","연차, 경조휴가제, 창립일휴무, 근로자의 날 휴무",NA,NA,NA,NA
