"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"1","㈜GANGNAM KOREA","VIP고급주택/아파트/빌라 중개파트 신입사원 채용공고","270","14,502","신입·경력","고교졸업 이상","무관","회사내규에 따름","정규직, 위촉직, 프리랜서","면접후 결정","주 5일(월~금) ","서울전체, 서울 강남구","2018.10.01 00:00","2019.04.30 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","디젠스㈜","재무팀 경력직원 모집","80","3,025","경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 시흥시, 안산시","2019.02.01 00:00","2019.04.20 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","디젠스㈜","전산실 관리 / ERP경력사원 모집 공고 - 정규직","88","3,188","경력 2~10년","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 시흥시","2019.02.01 00:00","2019.04.20 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","한국맥널티(주)","[헤리토리엔코] 해외사업부 경력직 모집","47","1,038","경력 3~10년","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","사원, 대리, 과장","주 5일(월~금) 오전 9시~오후 6시","서울 서대문구지도","2019.04.05 14:00","2019.05.11 23:59","활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자","건강검진","4대 보험","생일선물/파티","워크샵, 점심식사 제공, 저녁식사 제공, 음료제공(차, 커피)","카페테리아, 자회사 제품할인","야간교통비지급","연차, 경조휴가제",NA,NA,NA,NA
"5","마장뮤직앤픽처스(주)","(경력직) 콘텐츠 마케터 채용","33","785","경력 3년 이상","대졸(4년제) 이상","무관","면접후 결정","정규직","과장, 대리","주 5일(월~금) 오전 10시~오후 7시","서울 강남구지도","2019.02.26 15:00","2019.04.19 23:59","기타- 음악을 좋아하고, 아날로그를 사랑하는 분- LP를 좋아하거나, 턴테이블로 음악감상하는 것이 취미인 분",NA,"4대 보험",NA,"음료제공(차, 커피)","노트북","야간교통비지급",NA,"자유복장",NA,NA,NA
"6","(주)디에스앤텍","서버 웹개발 경력자 모집","4","444","경력 6년 이상","학력무관","무관","4,800 만원","정규직","과장, 차장 / 팀원","주 5일(월~금) 오전 9시~오후 6시","서울 강남구지도","2019.04.01 17:00","2019.05.01 23:59",NA,"건강검진, 각종 경조사 지원","4대 보험",NA,"저녁식사 제공, 음료제공(차, 커피)","회의실, 노트북","회사차량 있음",NA,"회식강요 안함, 자유복장",NA,NA,NA
"7","(주)아이비김영","[메가스터디교육그룹] 김영편입 수원캠퍼스 학원운영 담당자","120","2,021","신입·경력","대졸(4년제) 이상","무관","회사내규에 따름상여금 지급","정규직 수습기간 3개월",NA,"탄력적근무제 ","경기 수원시, 수원시 팔달구","2019.03.07 00:00","2019.04.14 23:59","활동/경험 해당직무 근무경험","건강검진","퇴직금, 4대 보험",NA,NA,"사무용품 지급",NA,"연차, 여름휴가, 경조휴가제",NA,NA,NA,NA
"8","덕우전자(주)","경영지원실(재무회계팀)신입 채용","134","2,038","신입","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","사원","주 5일(월~금) 08 : 00 ~ 17 : 00","경북 구미시지도","2019.04.11 08:00","2019.04.30 23:59","전공수학/통계학, 회계학외국어 능력 영어가능자자격/능력 문서작성 우수자, 더존/회계 능숙자근무조건 인근거주자, 운전가능자기타해당직무 근무경력자(1년 미만)","건강검진, 체력단련실운영","퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 야근수당, 휴일(특근)수당, 연차...","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더...","휴게실, 회의실, 장애인 전용주차장, 유니폼지급, 노트북, 사원증","기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 산전 후 휴가, 육아휴직","자유복장",NA,NA,NA
"9","㈜진매트릭스","2019년 상반기 각 부문별 신입/경력 채용","419","13,151","신입·경력","학력무관","무관","회사내규에 따름","정규직",NA,NA,"경기 성남시 분당구, 광주시, 용인시 기흥구, 서울 강남구, 서초구, 송파구지도","2019.03.18 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","하니웰애널리틱스(주)","[하니웰애널리스틱]Program Manager(Project Manager 대리-부장)","17","556","경력 4년 이상","대졸(4년제) 이상","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 마포구지도","2019.03.12 18:00","2019.05.12 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
