"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"11","(주)바텍코리아","덴탈 교정재료PM 경력자 채용","2","85","경력 5년 이상","학력무관","무관","면접후 결정","정규직 수습기간 3개월","대리, 과장","주 5일(월~금) ","경기 화성시지도","2019.04.08 08:00","2019.04.23 23:59","외국어 능력 영어능통자활동/경험 해당직무 근무경험근무조건 인근거주자","건강검진, 직원대출제도, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 휴일(특근)수당, 4대 보험","명절선물/귀향비, 창립일선물지급","창립일행사, 우수사원시상식, 직무능력향상교육, 사내동호회 운영, 식비 지원","휴게실",NA,"연차, 여름휴가, 경조휴가제, 산전 후 휴가, 육아휴직",NA,NA,NA,NA
"12","㈜리드코프","리드코프 채권관리(서울마포센터/경인지역점)채용공고","2","78","신입·경력(년수무관)","대졸(2,3년제) 이상","무관","2,700 만원성과급별도","정규직, 계약직계약직6개월, 정규직 전환 가능","사원 / 팀원","주 5일(월~금) 08:30 ~ 18:00","서울 마포구지도","2019.04.08 08:00","2019.05.08 23:59","기본국가유공자, 보훈대상자, 고용촉진장려금 대상, 취업보호대상자활동/경험 해당직무 근무경험근무조건 운전가능자","건강검진, 직원대출제도, 각종 경조사 지원","퇴직금, 휴일(특근)수당, 4대 보험","명절선물/귀향비","워크샵, 신입사원교육(OJT)",NA,NA,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원",NA,NA,NA,NA
"13","(주)노바렉스","경력사원 및 신입사원 모집공고","275","12,105","신입·경력","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 서초구, 충북 청주시 청원구","2019.04.08 00:00","2019.04.14 23:59","전공생활과학, 식품/유전/바이오",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","태림페이퍼(주)","태림페이퍼 정읍공장 안전관리담당자 신입/경력사원 채용","26","578","신입·경력 10년 이하","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","사원, 주임, 대리","주 5일(월~금) 오전 8시 ~ 오후 5시","전북 정읍시지도","2019.04.08 08:00","2019.04.21 23:59","활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 문서작성 우수자근무조건 인근거주자","건강검진, 자녀학자금","퇴직연금, 장기근속자 포상, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 생일선물/파티","신입사원교육(OJT), 직무능력향상교육, 구내식당(사원식당), 점심식사 제공, 사내동...","유니폼지급, 사무용품 지급",NA,NA,NA,NA,"자격증산업안전기사",NA
"15","세원셀론텍㈜","셍체재료 연구 및 제품개발 사원 모집","11","211","신입·경력 3년 이상","석사졸업 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 성동구지도","2019.04.08 08:00","2019.04.21 23:59","전공생명과학, 생명/환경공학외국어 능력 영어가능자, 영어능통자활동/경험 해당직무 인턴경력, 해당직무 근무경험근무조건 인근거주자기타생체재료 개발 및 연구 경력자, 특허등록 및 논문게재 경험자","건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 의료비지원(가족), ...","퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 휴일(특근)수...","명절선물/귀향비, 창립일선물지급","구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조...","휴게실, 회의실, 공기청정기, 전용 사옥, 건물 내 경사로, 휠체어용 난간, 장애인 화...","기숙사 운영, 통근버스 운행, 사원아파트 임대, 주택자금 융자, 주차장제공, 회사차량 있음","산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가, 휴양시설 제공","노조/노사협의회",NA,NA,"7"
"16","다산네트웍스","[다산네트웍스] 인사팀 경력직 채용","11","395","경력(년수무관)","대졸(4년제) 이상","무관","면접후 결정","정규직 수습기간 3개월","과장, 대리","주 5일(월~금) 오전 08시 ~ 오후 17시","경기 성남시 분당구지도","2019.04.08 08:00","2019.05.08 23:59",NA,"건강검진, 각종 경조사 지원","장기근속자 포상, 퇴직금, 4대 보험",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","인탑스㈜","사업장별 각 부문 신입 경력 채용 공고","194","7,766","신입·경력","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월",NA,NA,"서울 강남구, 경기 수원시, 안양시, 광주전체, 경북 구미시, 김천시, 충북 옥천군","2019.04.08 00:00","2019.04.14 23:59",NA,"각종 경조사 지원, 체력단련실운영, 헬스비 지급","장기근속자 포상, 우수사원포상, 퇴직금, 가족수당, 4대 보험","창립일선물지급, 생일선물/파티","창립일행사, 신입사원교육(OJT), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, ...","휴게실, 사무용품 지급","기숙사 운영","연차, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, ...",NA,NA,NA,"67"
"18","(재)연구개발특구진흥재단","2019년 사회적 가치 구현형 직원 채용 공고","182","3,605","신입·경력","학력무관(예정자 가능)","무관","회사내규에 따름","정규직, 계약직, 인턴직계약직 무기계약직인턴직 정규직 전환 가능","면접후 결정",NA,"대전전체, 부산전체, 대구전체, 광주전체, 전북 전주시","2019.04.15 00:00","2019.05.03 15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"54",NA,NA
"19","한화첨단소재","2019년 상반기 Global신입공채 모집","294","7,603","신입","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름",NA,NA,NA,"세종특별자치시","2019.04.08 00:00","2019.04.19 15:00","전공화학공학, 기계/자동차/조선공학, 신소재/재료공학, 상경계열기본보훈대상자, 장애인우대",NA,NA,NA,NA,NA,NA,NA,NA,"146",NA,NA
"20","(주)코멧네트워크","경영지원 정규직 모집(신입사원)","165","993","신입","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 8시 30분~오후 5시 30분","부산 해운대구지도","2019.04.08 09:00","2019.04.30 23:59","전공경영학, 회계학, 상경계열","건강검진, 직원대출제도, 각종 경조사 지원, 통신비 지원, 자녀학자금","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기...","회의실, 전용 사옥, 사무용품 지급","기숙사 운영, 통근버스 운행, 주택자금 융자, 회사차량 있음","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 산전 후 휴가, 휴양시설...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,"178"
"21","(주)제닉스 크리에이티브","온라인마케팅 업무 및 유튜브 영상 (BJ 비제이,크리에이터) 모집","4","95","무관(신입포함)","학력무관","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 영등포구지도","2019.04.08 09:00","2019.04.21 23:59","기본여성우대활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 포토샵 능숙자기타프리미어 및 에프터이펙트 활용가능자",NA,"퇴직연금, 인센티브제, 상여금, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급","워크샵, 음료제공(차, 커피)","자회사 제품할인, 콘도/리조트 이용권",NA,"연차","회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"22","삼목에스폼(주)","부산지사 설계팀 정규직 채용 공고(신입)","23","463","신입","대졸(4년제) 이상(예정자 가능)","무관","2,800~3,000만원","정규직 수습기간 3개월",NA,"주 5일(월~금) 08:00~18:00","부산 연제구, 부산전체지도","2019.04.08 08:00","2019.04.17 23:59","전공건축/토목/조경/도시공학자격증AutoCAD자격/능력 컴퓨터활용능력 우수, CAD/CAM 능숙자기타건축기사","건강검진, 자녀학자금","우수사원포상, 퇴직금, 휴일(특근)수당, 4대 보험",NA,"워크샵, 신입사원교육(OJT), 직무능력향상교육, 점심식사 제공, 저녁식사 제공","유니폼지급",NA,"연차, 경조휴가제",NA,NA,NA,NA
"23","(주)제닉스 크리에이티브","[영업팀] 온라인MD(쇼핑몰 오픈픈마켓) 영업 관리자 모집합니다.","5","166","경력 1년 이상","학력무관","무관","면접후 결정","정규직 수습기간 2개월","사원, 주임, 대리","주 5일(월~금) ","서울 영등포구지도","2019.04.08 09:00","2019.04.21 23:59","자격/능력 컴퓨터활용능력 우수, 포토샵 능숙자",NA,"퇴직연금, 인센티브제, 상여금, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급","워크샵, 음료제공(차, 커피)","자회사 제품할인, 콘도/리조트 이용권",NA,"연차","회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"24","휴먼웍스","PHP/JSP/nodejs 웹개발자 채용 공고","10","161","신입·경력(년수무관)","학력무관","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 강남구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 금연수당, 각종 경조사 지원, 헬스비 지급, 문화생활비, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비","워크샵, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 게임기","야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 남성출산휴가","자유복장",NA,NA,NA
"25","한국단자공업㈜","ERP 시스템 개발 (SAP)경력직 모집","8","376","경력 2~5년","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) 오전 8시~오후 5시","인천 연수구지도","2019.04.08 09:00","2019.04.17 23:59","기본보훈대상자","건강검진, 각종 경조사 지원, 자녀학자금","퇴직금, 4대 보험",NA,"점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회)","휴게실, 전용 사옥, 문턱 없음, 유니폼지급, 사무용품 지급","통근버스 운행, 주차장제공","연차, 여름휴가, 경조휴가제, 휴양시설 제공",NA,NA,NA,NA
"26","엔에이치엔서비스(주)","클라우드 기술 지원 담당 채용","3","66","경력 2~6년","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 09:30 ~ 18:30","경기 성남시 분당구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 단체 상해보험","퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비","아침식사 제공, 음료제공(차, 커피)","카페테리아",NA,"연차, 경조휴가제, Refresh휴가, 창립일휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, ...","자유복장","3",NA,"1"
"27","휴먼웍스","웹&모바일 서비스기획 채용 공고","9","141","신입·경력 1~3년","학력무관","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 강남구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 금연수당, 각종 경조사 지원, 헬스비 지급, 문화생활비, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비","워크샵, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 게임기","야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 남성출산휴가","자유복장",NA,NA,NA
"28","엔에이치엔서비스(주)","Java 웹 개발자 채용","4","97","경력 2~7년","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 09:30 ~ 18:30","경기 성남시 분당구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 단체 상해보험","퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비","아침식사 제공, 음료제공(차, 커피)","카페테리아",NA,"연차, 경조휴가제, Refresh휴가, 창립일휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, ...","자유복장","6",NA,"3"
"29","휴먼웍스","서버 및 시스템 관리자 채용 공고","6","158","경력 1년 이상","학력무관","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 강남구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 금연수당, 각종 경조사 지원, 헬스비 지급, 문화생활비, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비","워크샵, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 게임기","야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 남성출산휴가","자유복장",NA,NA,NA
"30","휴먼웍스","기획 / 마케팅 신입 및 경력 사원 채용 공고","33","416","신입·경력 1년 이상","대졸(2,3년제) 이상(예정자 가능)","무관","면접후 결정","정규직",NA,"주 5일(월~금) ","서울 강남구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 금연수당, 각종 경조사 지원, 헬스비 지급, 문화생활비, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비","워크샵, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 게임기","야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 남성출산휴가","자유복장",NA,NA,NA
"31","휴먼웍스","마케팅/홍보 사무 채용 공고","19","251","무관(신입포함)","학력무관","무관","면접후 결정","계약직 2년, 정규직 전환 가능",NA,"주 5일(월~금) ","서울 마포구지도","2019.04.08 09:00","2019.04.14 23:59",NA,"건강검진, 금연수당, 각종 경조사 지원, 헬스비 지급, 문화생활비, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 가족수당, 4대 보험","명절선물/귀향비","워크샵, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 게임기","야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 남성출산휴가","자유복장",NA,NA,NA
"32","㈜엔아이스틸","N.I스틸 재경팀 회계/세무 신입사원 채용","307","2,380","신입","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직 수습기간 3개월","사원","주 5일(월~금) 8시~18시","서울 동작구, 서울전체","2019.04.08 00:00","2019.04.15 15:00","전공상경계열","각종 경조사 지원, 자녀학자금","상여금, 퇴직금, 4대 보험",NA,NA,NA,"차량유류비지급",NA,NA,NA,NA,NA
"33","인선이엔티㈜","[코스닥 상장사] 인선이엔티㈜ 영업관리/재무회계/기술지원 채용","34","1,612","신입·경력","학력무관","무관","회사내규에 따름","정규직, 계약직정규직 수습기간 3개월계약직6개월",NA,"토요일 격주휴무(월~토) 08:30~18:00","경기 고양시 일산동구, 경기전체","2019.04.08 00:00","2019.04.13 23:59",NA,"각종 경조사 지원, 자녀학자금","퇴직연금, 상여금, 우수사원포상, 퇴직금, 연차수당, 4대 보험","명절선물/귀향비","우수사원시상식, 워크샵, 점심식사 제공, 사내동호회 운영, 사우회(경조사회), 음료...","휴게실, 회의실, 유니폼지급, 사원증, 콘도/리조트 이용권, 사무용품 지급",NA,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 휴양시설 제공",NA,NA,NA,NA
"34","교보리얼코㈜","대졸 신입 및 경력사원 채용","75","804","신입·경력 2년 이상","학력무관(예정자 가능)","무관","회사내규에 따름","정규직, 계약직계약직 정규직 전환 가능",NA,NA,"서울 성동구지도","2019.04.08 00:00","2019.04.16 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"238",NA,NA
"35","㈜현대홈쇼핑","경력 채용공고(웹기획, 온라인 전략지원, Hmall MD, 방송기술)","48","678","경력","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름",NA,NA,NA,"서울 강동구","2019.04.05 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"233",NA,NA
"36","한국다이와㈜","AS / 영업관리 직원 채용","24","1,319","신입·경력","대졸(4년제) 이상 A/S부 2,3년 이상","무관","회사내규에 따름","정규직","면접후 결정","주 5일(월~금) ","경기 파주시","2019.04.08 00:00","2019.04.16 23:59","외국어 능력 일본어 가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(주)골든블루","[골든블루] 전화주문/발주관리 고졸사원 채용 (부산, 창원)","49","527","신입","고교졸업 이상","무관","2,400~2,600만원","정규직, 계약직정규직 수습기간 6개월계약직1년, 정규직 전환 가능 - 기간제","사원 / 팀원","주 5일(월~금) 오전 9시~오후 6시","부산 동구, 부산전체, 경남 창원시 성산구지도","2019.04.08 09:00","2019.04.21 23:59","자격/능력 문서작성 우수자, 엑셀 고급능력자근무조건 인근거주자","건강검진, 각종 경조사 지원, 업무활동비 지급, 선택적복리후생, 자녀학자금","퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 연차수당, 직...","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더...","휴게실, 회의실, 노트북, 사무용품 지급","주차장제공, 주차비지원","연차, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 휴가비지원, 포...","노조/노사협의회, 회식강요 안함",NA,NA,"74"
"38","해성디에스 주식회사","2019년 신입사원 모집 (정규전환형 인턴과정)","479","6,899","신입","대졸(4년제) 이상(예정자 가능) 석사이상(전문연구요원)","무관","회사내규에 따름상여금 별도","정규직, 인턴직인턴직2개월, 정규직 전환 가능",NA,"주 5일(월~금) 직무에 따라 (08:00 ~ 17:00, 자율출퇴근)","경남 창원시, 서울 강남구지도","2019.04.08 10:00","2019.04.22 15:00","기본국가유공자, 보훈대상자, 장애인우대기타외국어 회화능역 우수자","건강검진, 의료비지원(본인), 단체 상해보험, 의료비지원(가족), 불임부부 지원, 자녀학자금","인센티브제, 장기근속자 포상, 성과급, 연차수당, 자격증수당, 장기근속수당, 4대 보험",NA,"신입사원교육(OJT), 직무능력향상교육, MBA과정지원, 멘토링제도, 사이버연수원운영,...",NA,NA,NA,NA,"289",NA,NA
"39","N.I스틸","건설 가설자재 설계직 (시스템 동바리/비계) 신입 및 경력사원","6","59","신입·경력(년수무관)","대졸(2,3년제) 이상(예정자 가능)","무관","면접후 결정","정규직 수습기간 3개월","면접후 결정","주 5일(월~금) 8시~18시","서울 동작구지도","2019.04.08 09:00","2019.04.15 23:59","전공건축/토목/조경/도시공학활동/경험 해당직무 근무경험","각종 경조사 지원, 자녀학자금","상여금, 퇴직금, 4대 보험",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","에스엠하이플러스(주)","SM그룹 통합구매본부 경력직 채용","66","1,176","경력 3년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 강서구, 서울전체","2019.04.08 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","(주)오션스위츠","사업 확장에 따른 식구모집(조리/찬모/인사/프런트)","3","128","신입·경력(년수무관)","대졸(2,3년제) 이상(예정자 가능)","무관","면접후 결정","정규직, 계약직계약직6개월, 정규직 전환 가능","면접후 결정","스케줄 근무 오전 9시~오후 6시","제주 제주시지도","2019.04.08 09:00","2019.04.19 18:00","전공영어영문학, 회계학, 호텔경영학외국어TOEIC 500급(점) 이상기본고용촉진장려금 대상, 취업보호대상자외국어 능력 영어가능자, 영어능통자, 중국어 가능자활동/경험 해당직무 인턴경력, 해당직무 알바경험, 해당직무 근무경험, 우수사원 수상자자격/능력 통계분석능숙자, 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자, 더존/회계 능숙자, PPT능력 우수자근무조건 기숙사 생활가능자, 지방근무 가능자, 야간근무 가능자, 2교대근무 가능자, 3교대근무 가능자","자녀학자금","퇴직연금, 장기근속자 포상, 우수사원포상, 야근수당, 휴일(특근)수당, 연차수당, ...","명절선물/귀향비, 생일선물/파티","창립일행사, 우수사원시상식, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 자...","휴게실, 수면실, 회의실, 유니폼지급, 사무용품 지급","기숙사 운영, 야간교통비지급, 주차장제공","연차, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가","노조/노사협의회, 회식강요 안함",NA,NA,"4"
"42","(주)미디어웹","온라인 / 모바일 광고플랫폼 영업인 모집","1","43","경력 3~6년","학력무관","무관","회사내규에 따름회사내규에 따름","정규직",NA,"주 5일(월~금) 전일제 10:00~19:00","서울 금천구지도","2019.04.08 10:00","2019.04.15 23:59","자격/능력 문서작성 우수자근무조건 운전가능자","건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 의료비지원(가족), ...","퇴직연금, 장기근속자 포상, 우수사원포상, 4대 보험",NA,"도서구입비지원, 교육비 지원, 자기계발비 지원, 점심식사 제공, 저녁식사 제공","카페테리아","야간교통비지급, 주차장제공, 주차비지원","연차",NA,NA,NA,NA
