"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"1","에디슨모터스 주식회사","에디슨모터스(주) FINANCE팀 경력사원(팀장급) 채용 공고","17","356","경력 10~15년","대졸(4년제) 이상","무관","회사내규에 따름기타수당지급","정규직 수습기간 3개월","차장, 과장, 부장","주 5일(월~금) [근무시간] 09:00~18:00","서울 영등포구지도","2019.04.05 17:00","2019.04.21 23:59","전공회계학, 상경계열","건강검진, 의료비지원(본인), 각종 경조사 지원, 의료비지원(가족), 체력단련실운영...","인센티브제, 상여금, 퇴직금, 연차수당, 직책수당, 자격증수당, 장기근속수당, 가족...","명절선물/귀향비, 창립일선물지급","창립일행사, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 멘토링제도, ...","회의실, 사내 정원, 유니폼지급","기숙사 운영, 통근버스 운행, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, ...",NA,NA,NA,"25"
"2","에디슨모터스 주식회사","에디슨모터스(주) FINANCE팀 경력사원(팀장급) 채용 공고","17","356","경력 10~15년","대졸(4년제) 이상","무관","회사내규에 따름기타수당지급","정규직 수습기간 3개월","차장, 과장, 부장","주 5일(월~금) [근무시간] 09:00~18:00","서울 영등포구지도","2019.04.05 17:00","2019.04.21 23:59","전공회계학, 상경계열","건강검진, 의료비지원(본인), 각종 경조사 지원, 의료비지원(가족), 체력단련실운영...","인센티브제, 상여금, 퇴직금, 연차수당, 직책수당, 자격증수당, 장기근속수당, 가족...","명절선물/귀향비, 창립일선물지급","창립일행사, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 멘토링제도, ...","회의실, 사내 정원, 유니폼지급","기숙사 운영, 통근버스 운행, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, ...",NA,NA,NA,"25"
"3","힐티코리아(주)","Technical Engineer 신입 및 경력직 채용","17","1,049","신입·경력 3년 이하","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 강남구, 서울전체","2019.04.08 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","로크웰오토메이션코리아 ㈜","[해외연수] 엔지니어 채용(경력)","61","7,054","경력 2년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"서울 강남구, 서울전체지도","2019.04.05 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","예스이십사㈜","[YES24] 패션사업본부 패션팀 온라인 MD 채용(정규직)","60","629","경력 3~7년","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 영등포구지도","2019.04.06 00:00","2019.04.21 23:59","기본국가유공자, 보훈대상자, 장애인우대활동/경험 해당직무 근무경험","건강검진, 각종 경조사 지원","인센티브제, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","사내동호회 운영, 식비 지원","수유실",NA,NA,"자유복장",NA,NA,NA
"6","진양화학주식회사","생산관리 정규직 채용 - 신입사원","76","1,047","신입","대졸(4년제) 이상(예정자 가능)","무관","3,000~3,200만원","정규직 수습기간 3개월",NA,"주 5일(월~금) ","울산 남구지도","2019.04.06 08:00","2019.04.21 23:59","전공화학공학근무조건 인근거주자, 운전가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","진양화학주식회사","물류관리 정규직 채용 - 신입사원","43","943","신입","대졸(4년제) 이상(예정자 가능)","무관","3,000~3,200만원","정규직 수습기간 3개월",NA,"주 5일(월~금) ","울산 남구지도","2019.04.06 09:00","2019.04.21 23:59","전공화학공학근무조건 인근거주자, 운전가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","(주)디에이피","사양검토 경력직 모집 - 인쇄회로기판","4","163","경력 5~10년","고교졸업 이상","무관","회사내규에 따름","정규직 수습기간 3개월","사원 / 팀원","주 5일(월~금) 주5일(09:00~19:00), 연장ㆍ특근수당별도","경기 안산시 단원구지도","2019.04.06 19:00","2019.04.15 23:59","기본국가유공자, 보훈대상자, 장애인우대활동/경험 해당직무 인턴경력, 해당직무 근무경험","건강검진, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 휴일(특근)수당, 연차수당, ...","생일선물/파티, 결혼기념일선물","창립일행사, 신입사원교육(OJT), 직무능력향상교육, 구내식당(사원식당), 점심식사 ...","휴게실","차량유류비지급, 통근버스 운행","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무",NA,NA,NA,NA
"9","(주)액트","기획재경팀 회계·재무·경력직 채용","3","240","경력 5~15년","학력무관 회계학과 출신 우대","무관","4,000~5,000만원","정규직","과장","주 5일(월~금) 오전 8시 30분~오후 5시 30분","대구 달서구지도","2019.04.08 07:00","2019.04.20 23:59","전공회계학활동/경험 해당직무 근무경험자격/능력 통계분석능숙자, 엑셀 고급능력자, 더존/회계 능숙자근무조건 운전가능자, 차량소지자","건강검진, 각종 경조사 지원, 업무활동비 지급","인센티브제, 우수사원포상, 스톡옵션, 퇴직금, 휴일(특근)수당, 연차수당, 직책수당...","명절선물/귀향비, 창립일선물지급, 생일선물/파티","우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽...","휴게실, 회의실, 카페테리아, 전용 사옥, 사내 정원, 유니폼지급, 사원증, 사무용품 지급","기숙사 운영, 통근버스 운행, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 포상휴가, 산전 ...","노조/노사협의회, 회식강요 안함, 야근강요 안함",NA,NA,NA
"10","주식회사 케이이씨","[KEC]정비P 신입/경력사원 채용","23","692","신입·경력 7년 이하","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 8시 30분~오후 5시 30분","경북 구미시지도","2019.04.08 08:00","2019.05.08 23:59",NA,"건강검진, 의료비지원(본인), 각종 경조사 지원, 자녀학자금","인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"구내식당(사원식당), 사내동호회 운영",NA,"기숙사 운영, 차량유류비지급, 통근버스 운행",NA,NA,NA,NA,NA
