"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"1","동국제강그룹 DK유엔씨","[동국제강그룹/DK유엔씨] 비서 및 사무 업무 채용","36","637","경력 1~5년","대졸(2,3년제) 이상","무관","회사내규에 따름","계약직 정규직 전환 가능","사원 / 팀원","주 5일(월~금) ","서울 중구","2019.04.11 00:00","2019.04.17 23:59","전공컴퓨터/시스템공학","건강검진, 의료비지원(본인), 각종 경조사 지원, 자녀학자금","우수사원포상, 퇴직금, 연차수당, 4대 보험",NA,"저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)","회의실, 공기청정기, 건물 내 경사로, 유도점자블록, 장애인 화장실, 노트북, 사원...",NA,"산전 후 휴가, 육아휴직, 남성출산휴가",NA,NA,"자격증2종보통운전면허",NA
"2","㈜텐바이텐","㈜텐바이텐 재경 ,가구MD 채용","29","1,024","경력 3년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 종로구","2019.04.11 00:00","2019.04.17 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","(재)우체국물류지원단","신규 사무직(정규직) 채용 공고","570","4,694","신입","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","면접후 결정",NA,"서울 광진구","2019.04.11 00:00","2019.04.25 18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"257",NA,NA
"4","에스티팜주식회사","2019년 각 부문 공개 채용 (총무/경리,연구보조 )","63","1,562","신입·경력","고교졸업 이상","무관","회사내규에 따름","정규직, 계약직계약직 정규직 전환 가능","면접후 결정",NA,"경기 시흥시, 경기전체","2019.04.11 00:00","2019.04.18 23:59","전공화학공학, 의/약학",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24"
"5","오스템임플란트 ㈜","오스템임플란트 인테리어 시공 계약 및 공무 분야 채용","10","199","경력 5년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"서울전체, 대구전체","2019.04.11 00:00","2019.04.20 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA
"6","오스템임플란트 ㈜","오스템임플란트 기술지원(의료장비 및 SW 설치/AS/교육)분야 채용","12","319","신입 3년 이하","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"경남 창원시, 광주전체, 경북 김천시","2019.04.11 00:00","2019.04.20 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA
"7","한국야금(주)","2019년 한국야금 현장사원 및 영업사원 채용","52","1,135","신입·경력","고교졸업 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"충북 청주시, 진천군, 광주전체","2019.04.11 00:00","2019.04.21 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81"
"8","신세계건설(주)","토목시공/공무 경력사원 모집","9","268","경력 7년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직","대리, 과장","주 5일(월~금) ","서울 중구지도","2019.04.11 12:00","2019.04.28 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","전<U+00A0><U+00A0><U+00A0>공건축/토목/조경/도시공학자격증토목기사",NA
"9","삼성웰스토리(주)","각 부문 (온라인마케팅, 식자재영업) 경력채용","33","1,207","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직",NA,NA,"경기 성남시 분당구, 경남전체","2019.04.11 00:00","2019.04.24 17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA
"10","시크릿다이렉트코리아 주식회사","웹개발자 정규직 채용","1","99","경력 3년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월","대리, 주임 / 팀원","주 5일(월~금) 오전 10시~오후 7시","서울 강남구지도","2019.04.11 12:00","2019.05.11 23:59",NA,"건강검진, 통신비 지원, 자녀학자금","퇴직연금, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","우수사원시상식, 직무능력향상교육, 리더쉽강화교육, 자격증취득지원, 교육비 지...","휴게실, 수면실, 회의실, 공기청정기, 장애인 전용주차장, 콘도/리조트 이용권",NA,"연차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가","회식강요 안함, 야근강요 안함",NA,NA,NA
