"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"11","용마로지스㈜","용마로지스 경력 및 신입 채용","54","3,570","신입·경력","대졸(2,3년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 김포시, 경기전체, 안성시","2019.04.11 00:00","2019.04.28 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","한국산업인력공단","일반직5,6급 신규직원 채용공고","1,046","13,922","신입·경력","학력무관(예정자 가능)","무관","회사내규에 따름","정규직",NA,NA,"전국, 울산전체, 강원 강릉시, 춘천시, 제주전체","2019.04.15 00:00","2019.04.25 15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","한국산업인력공단","출제연구직 신규직원 채용공고","85","2,473","신입·경력","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직",NA,NA,"울산 중구","2019.04.15 00:00","2019.04.25 15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","아시아종묘㈜","영업지원팀 채용","17","351","무관(신입포함)","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","사원, 대리","주 5일(월~금) ","서울 송파구지도","2019.04.11 13:00","2019.04.26 23:59","전공수학/통계학활동/경험 해당직무 근무경험자격/능력 통계분석능숙자, 컴퓨터활용능력 우수기타종자영업 유경험자","건강검진, 각종 경조사 지원, 단체 상해보험","퇴직연금, 인센티브제, 퇴직금, 휴일(특근)수당, 직책수당, 4대 보험","명절선물/귀향비, 생일선물/파티",NA,NA,NA,"연차, 경조휴가제, 반차","자유복장",NA,NA,NA
"15","삼신정밀㈜","기획,재무부문 채용공고","9","638","경력","대졸(4년제) 이상","무관","회사내규에 따름상여/퇴직금 별도","정규직","주임","주 5일(월~금) 오전 8시~오후 5시 (연장근무있음)","경남 함안군","2019.04.11 00:00","2019.04.21 23:59","전공상경계열기본국가유공자, 보훈대상자외국어 능력 영어가능자활동/경험 해당직무 근무경험자격/능력 문서작성 우수자근무조건 운전가능자, 기숙사 생활가능자, 지방근무 가능자","통신비 지원, 결혼준비 지원, 자녀학자금",NA,"명절선물/귀향비, 창립일선물지급","창립일행사, 직무능력향상교육, 리더쉽강화교육, 점심식사 제공, 저녁식사 제공, ...","노트북","통근버스 운행",NA,NA,NA,NA,NA
"16","드림라인㈜","드림라인㈜ 전산부문 신입 및 경력사원 채용","32","1,274","신입·경력","대졸(2,3년제) 이상 신입-4년제 이상/경력-2년제 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 구로구, 서울전체","2019.04.11 00:00","2019.04.18 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","(주)인터파크큐브릿지","2019 인터파크큐브릿지 신입/경력직 모집","49","2,795","신입·경력 1년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) ","서울 서초구, 강남구","2019.04.11 00:00","2019.04.19 23:59",NA,"각종 경조사 지원","퇴직연금, 우수사원포상, 스톡옵션, 퇴직금, 4대 보험",NA,NA,NA,NA,"연차, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가",NA,NA,NA,NA
"18","혼다코리아㈜","혼다코리아 신입 및 경력직원 모집","55","616","신입·경력","학력무관","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 강남구, 서울전체, 관악구, 서초구, 송파구","2019.04.15 00:00","2019.04.29 23:59","전공기계/자동차/조선공학, 공학계열",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","포스파워(주)","’19년 상반기 경력직 공개채용","31","1,935","경력","학력무관","무관","회사내규에 따름","정규직, 계약직",NA,NA,"강원 삼척시","2019.04.12 00:00","2019.04.28 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"72",NA,NA
"20","㈜이엠텍","각 부문별 경력사원 공개채용","113","4,676","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","경기 안양시, 안양시 동안구, 경남전체, 경남 창원시 성산구, 아시아·중동 베트남","2019.04.11 00:00","2019.04.19 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","미원상사㈜&화학관계사	","미원상사㈜&관계사 각 부문 채용","419","6,945","신입·경력","고교졸업 이상 부문별 상이","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 안양시, 경기전체, 안산시, 용인시, 울산 남구, 전북 완주군, 익산시, 충남 공주시, 서산시, 충북 충주시","2019.04.11 00:00","2019.04.18 17:00","전공법학계열, 화학, 생명/환경공학, 화학공학, 신소재/재료공학, 경영학, 회계학외국어 능력 영어능통자, 일본어 가능자, 중국어 가능자",NA,NA,NA,NA,NA,NA,NA,NA,"216",NA,NA
"22","(주)엔타스","[외식그룹 엔타스] 본사 기획실 경력직원 채용","9","593","경력 3년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"서울 영등포구","2019.04.11 00:00","2019.04.17 23:59","외국어 능력 영어가능자, 중국어 가능자활동/경험 해당직무 근무경험",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","(주)엔타스","[외식그룹 엔타스] 본사 재무팀 사원급 직원 채용","67","1,156","무관(신입포함)","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 영등포구","2019.04.11 00:00","2019.04.17 23:59","활동/경험 해당직무 근무경험",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","코오롱글로벌㈜","2019년 채용연계형 인턴 채용","211","3,710","무관(신입포함)","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","인턴직 5개월, 정규직 전환 가능","면접후 결정",NA,"서울전체, 경기전체, 인천 연수구, 부산전체, 대구전체, 대전전체, 경남전체, 경북전체, 충북전체, 전국","2019.04.11 00:00","2019.04.22 17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"73",NA,NA
"25","유화증권(주)","유화증권과 함께 할 창의적인 인재를 모집합니다","12","827","경력","대졸(4년제) 이상","무관","회사내규에 따름","계약직 정규직 전환 가능",NA,"주 5일(월~금) ","서울 영등포구지도","2019.04.12 00:00","2019.04.21 23:59","기본보훈대상자활동/경험 해당직무 근무경험",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"26","㈜테라닉스","재무 경력자 모집","1","611","경력 6년 이상","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직","차장, 부장",NA,"경기 안산시 단원구, 경기전체, 안산시, 안산시 상록구","2019.04.11 00:00","2019.04.18 23:59","외국어 능력 영어가능자, 중국어 가능자, 베트남어 가능자활동/경험 해당직무 인턴경력, 해당직무 근무경험근무조건 야간근무 가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","㈜에스엔엔씨","19년 포스코 그룹 SNNC 채용 공고","68","3,072","신입·경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"전남 광양시","2019.04.12 00:00","2019.04.21 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,NA
"28","㈜까사미아","신세계그룹 까사미아 부문별 경력직 모집","56","809","경력","고교졸업 이상","무관","회사내규에 따름","정규직",NA,NA,"서울전체, 경기 용인시","2019.04.11 00:00","2019.04.19 23:59",NA,"건강검진, 각종 경조사 지원, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,NA,NA,NA,NA,NA,"48",NA,NA
"29","㈜에코프로","에코프로 계열 경력사원 모집","244","5,580","경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"충북 청주시 청원구, 청주시, 경기 화성시, 울산전체, 경북 포항시, 전남 목포시","2019.04.12 00:00","2019.04.28 23:59","외국어 능력 영어가능자, 영어능통자, 일본어 가능자, 중국어 가능자활동/경험 해당직무 근무경험",NA,NA,NA,NA,NA,NA,NA,NA,NA,"전<U+00A0><U+00A0><U+00A0>공법학계열, 화학, 금속/비금속공학, 생명/환경공학, 화학공학, 전기/전자공학, 반도체공학, 산업공학, 기계/자동차/조선공학, 신소재/재료공학, 공학계열, 경영학, 회계학, 상경계열","83"
"30","한국무역보험공사","2019년 상반기 일반직 신입사원(정규직) 채용공고","280","2,744","신입","학력무관(예정자 가능)","무관","회사내규에 따름","정규직",NA,NA,"서울 종로구","2019.04.17 10:00","2019.04.26 17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","㈜현대그린푸드[현대백화점그룹]","공무관리/상품개발/CRM 담당 모집","9","326","경력(년수무관)","학력무관","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","경기 용인시 수지구지도","2019.04.12 09:00","2019.04.17 23:59","활동/경험 해당직무 근무경험근무조건 인근거주자, 운전가능자, 차량소지자","건강검진, 직원대출제도, 각종 경조사 지원, 단체 상해보험, 체력단련실운영, 업무...","인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 야근수당, ...","명절선물/귀향비, 창립일선물지급, 생일선물/파티","구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조...","휴게실, 회의실, 카페테리아, 유니폼지급, 사원증, 자회사 제품할인, 사무용품 지급","차량유류비지급, 주택자금 융자, 주차장제공","산전 후 휴가, 육아휴직, 남성출산휴가","회식강요 안함, 야근강요 안함","9",NA,NA
"32","㈜해커스교육그룹","[해커스 교육그룹 인턴채용] 직원전환형(콘텐츠 기획/마케팅)","27","450","신입","대졸(4년제) 이상(예정자 가능)","무관","회사내규에 따름","인턴직 3개월, 정규직 전환 가능","면접후 결정",NA,"서울 서초구, 서울전체, 강남구, 송파구지도","2019.04.12 00:00","2019.04.24 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA
"33","㈜해커스교육그룹","[경력] SAP FI/CO 개발자","스크랩","252","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 서초구, 서울전체, 강남구, 송파구지도","2019.04.12 00:00","2019.04.30 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","(주)에스앤아이코퍼레이션","[곤지암리조트] 서비스인턴 일반 채용","13","394","신입·경력","대졸(2,3년제) 이상(예정자 가능)","무관","회사내규에 따름","정규직, 인턴직인턴직 정규직 전환 가능",NA,NA,"경기 광주시, 서울 강서구","2019.04.11 06:00","2019.04.25 23:00","기본장애인우대, 취업보호대상자",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA
"35","캐논쎄미콘덕터엔지니어링코리아(주)","각 부문 신입/경력 모집 (엔지니어,기술영업,법무관리)","88","1,730","신입·경력","대졸(4년제) 이상(예정자 가능) 세부내용참고","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 강남구, 충남 천안시","2019.04.12 00:00","2019.04.29 23:59","외국어 능력 일본어 가능자",NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA
"36","로버트보쉬코리아(유)","[Robert Bosch Korea] Sales Manager for Agriculture Business(PLANTECT) 정규직 채용","9","368","경력 8~15년","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정","주 5일(월~금) 오전 8시 30분 ~ 오후 5시 30분","경기 용인시 기흥구, 용인시지도","2019.04.12 00:00","2019.04.18 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","로버트보쉬코리아(유)","[Robert Bosch Korea] Technical Account Manager for Agriculture Business(PLANTECT) 정규직 채용","9","507","경력 8~15년","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정","주 5일(월~금) ","경기 용인시 기흥구, 용인시지도","2019.04.12 00:00","2019.04.18 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","한국로슈진단㈜","한국로슈진단㈜ 각 부문별 직원 모집","59","1,596","신입·경력 5년 이하","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"서울 강남구, 서울전체지도","2019.04.12 00:00","2019.04.21 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA
"39","대명지이씨㈜","2019년도 상반기 각 부문 신입 및 경력 채용","35","1,826","신입·경력","고교졸업 이상","무관","회사내규에 따름(학력/경력에 따른 급여반영) / 희망급여 반영 후 협의","정규직",NA,"월~금 근무[현장에 따라 토요일 근무있음] 주52시간기준 규정준수에 맞는 근무시간","서울 서초구, 경기전체, 강원 춘천시, 아시아·중동 인도","2019.04.12 00:00","2019.04.21 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","㈜코리아세븐","재무/법무/CS 경력사원 채용","14","154","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직",NA,NA,"서울 중구지도","2019.04.12 00:00","2019.04.19 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46",NA,NA
"41","㈜루트로닉","코스닥사 기획/회계/인사/총무/법인관리 경력채용","7","441","경력 2년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) 오전 9시~오후 6시","경기 고양시 덕양구지도","2019.04.12 00:00","2019.04.21 23:59",NA,"건강검진, 각종 경조사 지원, 체력단련실운영, 헬스비 지급, 본인학자금, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 장기근속수당, 4대 보험","생일선물/파티, 장기근속 선물","우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, MBA과정지...","회의실, 카페테리아, 전용 사옥, 유니폼지급, 사원증","주차장제공, 주 52시간제 준수, 주 40시간제 시행","연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, 육아휴직, 남...","회식강요 안함, 야근강요 안함, 캐주얼데이",NA,NA,NA
"42","㈜루트로닉","코스닥사 마케팅 Product Manager(제품 기획) 경력 채용","2","355","경력 5년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) 오전 9시~오후 6시","경기 고양시 덕양구지도","2019.04.12 00:00","2019.04.21 23:59",NA,"건강검진, 각종 경조사 지원, 체력단련실운영, 헬스비 지급, 본인학자금, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 장기근속수당, 4대 보험","생일선물/파티, 장기근속 선물","우수사원시상식, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, MBA과정지...","회의실, 카페테리아, 전용 사옥, 유니폼지급, 사원증","주차장제공, 주 52시간제 준수, 주 40시간제 시행","연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, 육아휴직, 남...","회식강요 안함, 야근강요 안함, 캐주얼데이",NA,NA,NA
"43","㈜ 푸른기술","연구소 신입 및 경력 연구원 공개채용","11","1,049","신입·경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직",NA,NA,"서울 서초구, 서울전체","2019.04.12 00:00","2019.04.21 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","한국개발연구원","인턴 채용 공고","58","855","신입·경력","고교졸업 이상(예정자 가능)","무관","회사내규에 따름","인턴직",NA,NA,"세종특별자치시지도","2019.04.12 00:00","2019.04.26 17:00","전공경영학, 경제학기본국가유공자, 장애인우대외국어 능력 영어가능자",NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA
